Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
"Best Buy !! I-santorini, 850sf, 3 Carpark, Basic Reno, Sea View, Mid F",RM 530 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Cheapest !! I-santorini, 850sf, 2cp, Basic Reno, High Floor, Corner",RM 500 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! I-santorini, 850sf, 2cp, Fully Furnish & Reno, High Floor",RM 620 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! I-santorini, 850sf, Corner, 3 Carparks, Fully Furnish Reno",RM 570 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! One Foresta , 900sf, 2cp, Low Floor, Corner Unit, Ori Unit",RM 430 000,Sungai Ara,900 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST !!! Orchard Ville, Sea View, 1080sqft, Mid Floor, KEY v ME",RM 530 000,Bayan Lepas,1080 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! One Foresta, 900sqft, 2cp, Mid Floor, Ori Unit, Hill View",RM 430 000,Sungai Ara,900 sq.ft.,3 Bedrooms,2 Bathrooms
"BEST BUY !!! Reflection, 1260sqft, 2cp, FULLY RENO & FURNISH, Hi-Floor",RM 660 000,Sungai Ara,1260 sq.ft.,3 Bedrooms,2 Bathrooms
"BEST BUY !!! ForestVille, 2 A/C, High Floor, 2 Car Park, Seaview Unit",RM 530 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST !!! Orchard Ville, Greenery View, 1116sqft, Corner, 2cp",RM 500 000,Bayan Lepas,1116 sq.ft.,3 Bedrooms,2 Bathrooms
"BEST DEAL !!! ForestVille, High Floor Unit!! 2 Car Park! Hill View",RM 540 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"BEST DEAL !!! ForestVille, Airport View, 3 CAR PARKS, Corner Mid-Floor",RM 550 000,Bayan Lepas,1050 sq.ft.,3 Bedrooms,2 Bathrooms
[POOL VIEW UNIT] The Clovers | 1598sf | WELL MAINTAINED Bayan Lepas,RM 670 000,Sungai Ara,1598 sq.ft.,3 Bedrooms,3 Bathrooms
"BEST BUY !!! Central Garden, 750sqft, Batu Lanchang, Partial Reno, 1cp",RM 435 000,Jelutong,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Ocean View, 860sf, Karpal Singh, 1 Carpark",RM 430 000,Sungai Pinang,860 sq.ft.,3 Bedrooms,2 Bathrooms
[CORNER TOWN VIEW] Menara Kuda Lari | 850sf | RENOVATED Lumba Kuda,RM 430 000,Georgetown,850 sq.ft.,3 Bedrooms,2 Bathrooms
[4CARPARK AIRPORT VIEW] The Clovers 1598sf FULLY RENOVATED Bayan Lepas,RM 880 000,Sungai Ara,1598 sq.ft.,3 Bedrooms,2 Bathrooms
[SEAVIEW PENTHOUSE with GARDENS] Sandilands Condo | 4486sf | Jelutong,RM 1 680 000,Jelutong,4486 sq.ft.,5 Bedrooms,4 Bathrooms
[WORTH BUY UNIT] Casa Impian Apartment | 750sf | FREEHOLD | Jelutong,RM 399 000,Jelutong,750 sq.ft.,3 Bedrooms,2 Bathrooms
[HOME FEELING] Putra Place | 1000sf |RENOVATED 2CARPARKS Bayan Lepas,RM 567 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
[WELL MAINTAINED] Putra Place | 1000sf | RENOVATED Bayan Lepas Indah,RM 490 000,Bayan Lepas,100 sq.ft.,3 Bedrooms,2 Bathrooms
[RARE UNIT] The Suites Straits Quay 2100sf 1 YATCHPARK CARPARK Tokong,RM 2 080 000,Tanjong Tokong,2100 sq.ft.,2 Bedrooms,3 Bathrooms
[RENOVATED 2 CARPARKS] Putra Place | 1000sf| SEAVIEW Bayan Lepas Indah,RM 575 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
[3 CP LANDED HOUSE CONCEPT] Skycube Residence | 1970sf | Sungai Ara,RM 750 000,Sungai Ara,1970 sq.ft.,3 Bedrooms,2 Bathrooms
[PERFECT TOWN VIEW] Grace Residence | 1646sf ORIGINAL | 2CP Jelutong,RM 835 000,Jelutong,1646 sq.ft.,4 Bedrooms,3 Bathrooms
[UNBLOCK SEAVIEW UNIT] Grace Residence | 1646sf | 2 CARPARKS Jelutong,RM 900 000,Jelutong,1646 sq.ft.,4 Bedrooms,3 Bathrooms
[RENOVATED] Menara Kuda Lari 850sf 1 CP Medan Kuda Lahat Georgetown,RM 420 000,Georgetown,850 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Ixora Farlim Air Itam,RM 155 000,Ayer Itam,550 sq.ft.,2 Bedrooms,2 Bathrooms
[HILL VIEW UNIT] The Clovers | 1598sf | WELL MAINTAINED Bayan Lepas,RM 688 000,Sungai Ara,1598 sq.ft.,3 Bedrooms,3 Bathrooms
[CORNER UNIT] Relau Vista | 850sf | TASTEFULLY RENOVATED 1 FIX CARPARK,RM 450 000,Bayan Lepas,850 sq.ft.,3 Bedrooms,2 Bathrooms
[LIMITED 3 CARPARKS] Tri Pinnacle | 800sf | HILL VIEW Tanjung Tokong,RM 508 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
[TIMBERWOOD FLOORING] Tropicana Bay | 550sf | 2 CARPARKS Bayan Lepas,RM 545 000,Bayan Lepas,550 sq.ft.,2 Bedrooms,1 Bathroom
"CHEAPEST !!! Setia Sky Vista, Mid Floor, Hill View, 1194sqft, 2Carpark",RM 699 000,Sungai Ara,1194 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Menara Greenview, High Floor, 1050sqft, 4 Units Per Floor",RM 488 000,Jelutong,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST !!! Setia Triangle, 1738sqft, FULLY RENO (RM140k), Mid Floor",RM 888 000,Bayan Lepas,1738 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST !!! Solaria Residence, 1650sqft, 3cp, Airport View, Hi-Floor",RM 789 000,Bayan Lepas,1650 sq.ft.,3 Bedrooms,3 Bathrooms
"Best Deal !! Putra Place, Mid Floor, 1000sf, Fully Furnished, 1 Cp",RM 510 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST ! Arte S, High Floor, 1294sqft, 2cp, Greenery View, Ori Unit",RM 690 000,Gelugor,1294 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Reno !! Beacon Executive Suites, 980sf, 2 rooms, 2 Carparks",RM 820 000,Sungai Pinang,980 sq.ft.,2 Bedrooms,2 Bathrooms
"BEST BUY !! Setia Pinnacle, 1314sqft, FURNISHED & RENO, Hill View, 2cp",RM 650 000,Sungai Ara,1314 sq.ft.,3 Bedrooms,2 Bathrooms
"RARE !!! The Light Collection II (2), 1701+580sqft, Garden Unit, 3cp",RM 2 450 000,Gelugor,2281 sq.ft.,3 Bedrooms,3 Bathrooms
"RARE !!! The View (Twin Tower), Duplex, 3890sqft, Gelugor, FULLY RENO",RM 1 700 000,Gelugor,3890 sq.ft.,5 Bedrooms,5 Bathrooms
Melody Homes 700Sf FURNISHED RENOVATED Nr Ayer Itam Shine ville Avenue,RM 350 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
"CHEAPEST !!! Tropicana Bay Residence, 550sqft, 1 ROOM, High Floor",RM 500 000,Bayan Lepas,550 sq.ft.,1 Bedroom,1 Bathroom
Pangsapuri Bagan Sena VERY GOOD CONDITION Nr Butterworth Bagan Luar,RM 260 000,Butterworth,822 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! One Imperial, 1180sqft, 2cp, Full Furnish & Reno, Mid Floo",RM 680 000,Sungai Ara,1180 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Putra Place, Low Floor, 1000sf, Fully Furnish Reno, 1cp",RM 530 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Alpine Tower ,1000+200sf, Furnish, Reno, Garden Unit",RM 450 000,Bukit Jambul,1000 sq.ft.,3 Bedrooms,2 Bathrooms
The Brezza At Tanjung Tokong Renovated 1 Car Park,RM 620 000,Tanjong Tokong,1250 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! One Imperial, 1180sqft, 2cp, Fully Reno, Low Floor, Blok C",RM 580 000,Sungai Ara,1180 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Alpine Tower, Corner Unit, Furnish, Reno, 2 Car Park",RM 530 000,Bukit Jambul,1305 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Setia Triangle, 1385sf, Furnish, Reno, 2 Cp, Low Floor",RM 620 000,Sungai Ara,1385 sq.ft.,3 Bedrooms,2 Bathrooms
Fully Furnished Studio Unit for SALE @ Harbour Place B'Worth,RM 310 000,Butterworth,670 sq.ft.,1 Bedroom,1 Bathroom
"Fully Furnished! Meritus Residence, Jalan Baru Perai Penang",RM 500 000,Prai,996 sq.ft.,3 Bedrooms,2 Bathrooms
Sunny Ville At Batu Uban Renovated Furnished Freehold Seaview,RM 380 000,Gelugor,800 sq.ft.,2 Bedrooms,2 Bathrooms
"Best Deal !! Mira Residence, 1635sf, Partly Furnished & Reno, 2cp",RM 1 200 000,Tanjong Tokong,1635 sq.ft.,3 Bedrooms,3 Bathrooms
"Best Deal !! Alpine Tower, 968sf, Furnish, Reno, 2cp, Mid Floor",RM 469 000,Bukit Jambul,968 sq.ft.,3 Bedrooms,2 Bathrooms
"Rare !! The Rise Collection 2, Mid Floor, 1cp, 900sqft With Balcony",RM 430 000,Georgetown,900 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! The Cove, Low Floor, Fully Furnished & Reno, 6000sf, 2cp",RM 3 300 000,Tanjung Bungah,6000 sq.ft.,5 Bedrooms,5 Bathrooms
"Best Buy !! 98 Nibong Residence, 2455sf , Ori Unit, 3cp, Low Floor",RM 1 050 000,Bayan Lepas,2455 sq.ft.,3 Bedrooms,2 Bathrooms
The Signature @ Jalan Baru Perai |1087 Sqft Freehold |2 Carpark,RM 440 000,Perai,1087 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal!! Vertiq, 1044sf, 2cp, Hi-floor, Seaview, Full Reno Furnish",RM 890 000,Gelugor,1044 sq.ft.,3 Bedrooms,2 Bathrooms
Sunny Ville At Batu Uban Freehold Renovated 2 Car Park,RM 460 000,Gelugor,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"Cheapest !! One Imperial, 1050sf, Basic Renovated, 2cp, Low Floor",RM 545 000,Sungai Ara,1050 sq.ft.,3 Bedrooms,2 Bathrooms
"Penthouse !! Menara Greenview, High Floor, 2600sqft, 3cp, Duplex",RM 888 000,Jelutong,2600 sq.ft.,4 Bedrooms,3 Bathrooms
Waterside Residence Gelugor Near Penang Bridge 2-Rooms *BRAND NEW* 2CP,RM 860 000,Gelugor,1076 sq.ft.,2 Bedrooms,2 Bathrooms
"Best Buy !! Abel Residence, 1130sf, Fully Furnish & Reno, 2cp, Low Flo",RM 550 000,Bukit Mertajam,1130 sq.ft.,3 Bedrooms,2 Bathrooms
Camellia Park 3 Carparks 1754sqft | Renovated & furnished,RM 580 000,Butterworth,1754 sq.ft.,3 Bedrooms,2 Bathrooms
"The light collection 3, 3740 sqf penthouse ,seaview gelugor",RM 2 680 000,Gelugor,3740 sq.ft.,4 Bedrooms,4 Bathrooms
Taman Sri Relau 88A For Sale🔥🔥🔥,RM 230 000,Relau,690 sq.ft.,3 Bedrooms,2 Bathrooms
"Rare !!! Quaywest, 760sf, Ori Unit With Upgrade 2x2 Floor Tiles, 1cp",RM 460 000,Batu Uban,760 sq.ft.,2 Bedrooms,1 Bathroom
"Cheap Duplex !!! Elit Heights, 1600sqft, Furnished, 2 Carparks",RM 820 000,Bayan Lepas,1600 sq.ft.,3 Bedrooms,4 Bathrooms
"Cheapest !! One Imperial, 1180sf, Fully Furnished & Renovated, 2cp",RM 620 000,Sungai Ara,1180 sq.ft.,3 Bedrooms,2 Bathrooms
"Cheapest !!! Elit Heights, 1572sqft, Furnished & Reno, Mid Floor, 2cp",RM 650 000,Bayan Lepas,1572 sq.ft.,3 Bedrooms,2 Bathrooms
"DESA INTAN Flat, Low Floor, Block 7B, 527sf, 2 Rooms, Ayer Itam",RM 130 000,Ayer Itam,527 sq.ft.,2 Bedrooms,1 Bathroom
Golden Triangle 2 Relau Near Spice Arena 3-Rooms *BRAND NEW UNIT* 2CP,RM 690 000,Relau,1161 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Forestville, 1000sf, 2cp, Hill View, Ori, Mid Floor, Blk A",RM 530 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"Bagan Sena Apartment, Butterworth for sale",RM 278 000,Butterworth,822 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Deal !! Setia Sky Ville, 1036sf, Fully Renovated, Mid Floor, 2 Cp",RM 780 000,Jelutong,1036 sq.ft.,3 Bedrooms,2 Bathrooms
"Sri Aman Apartment For Sale at Relau, Penang",RM 280 000,Relau,667 sq.ft.,3 Bedrooms,1 Bathroom
"Best Buy !! Setia Pinnacle, 1095sf, Ori, 2cp, Hill View, High Floor",RM 620 000,Sungai Ara,1095 sq.ft.,3 Bedrooms,2 Bathrooms
"Cheapest !! Setia Pinnacle, 1515sf, Mid Floor, Hill View, 2cp, Corner",RM 780 000,Sungai Ara,1095 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Sri Aman 3 Apartment Relau,RM 270 000,Relau,680 sq.ft.,3 Bedrooms,2 Bathrooms
"Aston Acacia New Project, Service Apartment, Jit Sin Bukit Mertajam",RM 378 000,Bukit Mertajam,883 sq.ft.,3 Bedrooms,2 Bathrooms
Lucerne Residences Bayan Lepas 1140sf 3+1Room New Property Low Density,RM 663 900,Bayan Lepas,1140 sq.ft.,4 Bedrooms,2 Bathrooms
"Best Buy !! Ocean View Jelutong, 860sf, Fully Furnish & Reno, 1cp",RM 450 000,Butterworth,860 sq.ft.,3 Bedrooms,2 Bathrooms
"Apartment 1 park untuk dijual!! Sg Ara Bayan Lepas, Pulau Pinang",RM 240 000,Bayan Lepas,650 sq.ft.,3 Bedrooms,2 Bathrooms
"Best Buy !! Middleton, 1409sf, Sea View, Mid Floor, 2cp, Ori Unit",RM 1 300 000,Gelugor,1409 sq.ft.,3 Bedrooms,2 Bathrooms
Perai Utama Apartment for sale,RM 218 000,Perai,753 sq.ft.,3 Bedrooms,2 Bathrooms
"BEST BUY !!! Boulevard, 936sqft, High Floor, 2cp, Corner Unit",RM 550 000,Ayer Itam,936 sq.ft.,3 Bedrooms,2 Bathrooms
I-Park Apartment Sg Ara 3-Room Partly Renovated & Furnished HIGH FLOOR,RM 248 000,Sungai Ara,650 sq.ft.,3 Bedrooms,2 Bathrooms
Bj court at bukit jambul,RM 235 000,Bayan Lepas,700 sq.ft.,3 Bedrooms,2 Bathrooms
Sri impian at Farlim,RM 275 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Seri Pelangi Bkt. Mertajam Town Apartment for Sale,RM 298 000,Bukit Mertajam,1044 sq.ft.,3 Bedrooms,2 Bathrooms
"Starhill Luxury Residence, Sunway Bukit Gambir, Gelugor for Sale!",RM 800 000,Gelugor,1283 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Ivory Air Itam Fully renovated Near Sunshine Farlim,RM 240 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Ivory Air Itam Fully renovated Near Sunshine Farlim,RM 240 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Park View Tower @ Harbour Place for sale,RM 265 000,Butterworth,883 sq.ft.,3 Bedrooms,2 Bathrooms
"Queens Residences, 950sf, 2 Car Parks, Walking distance to Queensbay",RM 860 000,Bayan Lepas,950 sq.ft.,2 Bedrooms,2 Bathrooms
Harbour Place condo Ocean View full furnish near Wellesley,RM 355 000,Butterworth,938 sq.ft.,3 Bedrooms,2 Bathrooms
Raja Uda Camellia Park condo full furnish partly reno,RM 455 000,Butterworth,1119 sq.ft.,3 Bedrooms,2 Bathrooms
"Bukit Mertajam, Pangsapuri Seri Jaya for Sales",RM 388 000,Bukit Mertajam,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Centroview Apartment @ Bagan Lalang,RM 415 000,Butterworth,1290 sq.ft.,4 Bedrooms,2 Bathrooms
Mahsuri Square Fully Renovated Move In Condition,RM 538 000,Bayan Baru,1129 sq.ft.,3 Bedrooms,2 Bathrooms
Butterworth Bagan,RM 360 000,Butterworth,1070 sq.ft.,3 Bedrooms,2 Bathrooms
"98 Nibong Residence Condo, Sungai Nibong, 2 car park, 2450sf",RM 980 000,Bayan Lepas,2450 sq.ft.,3 Bedrooms,3 Bathrooms
"[Cheapest,700sft] Halaman Kristal, Lengkok Free School, 11600 Jelutong",RM 235 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Ocean View condo full furnish reno near Wellesley Sea View tower,RM 410 000,Butterworth,983 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Telaga Emas Condo,RM 430 000,Butterworth,1366 sq.ft.,4 Bedrooms,2 Bathrooms
Vista Bay Condo Partly Furnished 2 Car Park,RM 426 000,Butterworth,1258 sq.ft.,4 Bedrooms,2 Bathrooms
Dpiazza Bayan Lepas Baru Renovated,RM 470 000,Bayan Baru,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated Delima Emas condo,RM 415 000,Juru,1257 sq.ft.,3 Bedrooms,2 Bathrooms
The Latitude European Design Fully Furnished & Renovated [Worth Buy],RM 718 000,Tanjong Tokong,1500 sq.ft.,4 Bedrooms,4 Bathrooms
The Latitude 2CP Renovated HighFloor Below Market at Tanjung Tokong,RM 699 999,Tanjong Tokong,1500 sq.ft.,4 Bedrooms,4 Bathrooms
Bagan Lalang Carissa Park condo reno partly furnish 2 carparks,RM 420 000,Butterworth,1210 sq.ft.,4 Bedrooms,2 Bathrooms
THE BREZZA SEAVIEW | Cheapest In Market | 1250Sft Fully Furnished SALE,RM 620 000,Tanjong Tokong,1250 sq.ft.,3 Bedrooms,2 Bathrooms
"Full Loan N-Park block D City, Sea & Pool View",RM 320 000,Gelugor,700 sq.ft.,3 Bedrooms,2 Bathrooms
Kampung Benggali Telaga Emas condo reno furnish near Billion Raja Uda,RM 430 000,Butterworth,1330 sq.ft.,3 Bedrooms,2 Bathrooms
Prai Meritus Residence condo full super nice ID design,RM 490 000,Butterworth,1015 sq.ft.,3 Bedrooms,2 Bathrooms
"Brand new, Middleton, Bukit Gambier, Gelugor Sea View, Pool View",RM 1 070 000,Gelugor,1409 sq.ft.,3 Bedrooms,3 Bathrooms
"Location, Convenience, Lifestyle",RM 500 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated Taman Seri Putri Sungai Ara (ada Lift),RM 255 000,Sungai Ara,650 sq.ft.,3 Bedrooms,1 Bathroom
[Duplex Unit] Greenlane Height block G Spacious Low Density/Quiet,RM 1 180 000,Greenlane,3200 sq.ft.,5 Bedrooms,4 Bathrooms
The View Twin Tower Condo Gelugor Low Density NB Penang Bridge/USM,RM 1 100 000,Gelugor,2088 sq.ft.,3 Bedrooms,4 Bathrooms
Apartment Delima Intan Juru,RM 255 000,Juru,786 sq.ft.,3 Bedrooms,2 Bathrooms
The view Twin Towers Low Density/ Seaview NB Penang Bridge/ USM/Tesco,RM 1 000 000,Gelugor,2088 sq.ft.,3 Bedrooms,4 Bathrooms
[VALUE BUY] Tropicana Bay Residence NB Queensbay & Penang Bridge FTZ,RM 620 000,Bayan Lepas,872 sq.ft.,3 Bedrooms,2 Bathrooms
The oasis Condo Gelugor 2 CP Facing Penang Bridge NB Lotus E-gate,RM 650 000,Gelugor,1114 sq.ft.,3 Bedrooms,2 Bathrooms
Puncak Terubong near Econ save,RM 275 000,Ayer Itam,700 sq.ft.,3 Bedrooms,1 Bathroom
Flat Taman Desa Jelita Jalan Kekabu Batu Maung near Kilang,RM 150 000,Batu Maung,560 sq.ft.,2 Bedrooms,1 Bathroom
Pangsapuri Titi Mukim - Value RM 170k,RM 150 000,Butterworth,697 sq.ft.,3 Bedrooms,2 Bathrooms
Arte S Gelugor 2cp Suitable for Homestay Near Tesco Glugor,RM 699 000,Gelugor,1652 sq.ft.,3 Bedrooms,2 Bathrooms
"Golden Triangle 2 ( GT2 ) for sale in Sungai Ara, Relau",RM 660 000,Relau,1161 sq.ft.,3 Bedrooms,2 Bathrooms
LUMINARI Condo 947sf CHEAPEST IN MARKET Worth BUY BUTTERWORTH LOW FLOO,RM 479 000,Butterworth,947 sq.ft.,2 Bedrooms,2 Bathrooms
LUMINARI Condo 974sf RENOVATED 2 Carpark WORTH BUY !! BUTTERWORTH,RM 548 000,Butterworth,974 sq.ft.,2 Bedrooms,2 Bathrooms
LUMINARI Condo 945sf VERY NICELY RENOVATED Worth BUY BUTTERWORTH !!,RM 530 000,Butterworth,945 sq.ft.,2 Bedrooms,2 Bathrooms
PINANG EMAS Apartment 650sf FULL LOAN 100% CHEAPEST BATU FERRINGHI BUY,RM 138 000,Batu Ferringhi,650 sq.ft.,3 Bedrooms,2 Bathrooms
The Light Colelction I 1 - 1582sq.ft - Partially Renovated - 3 Cps,RM 1 240 000,Gelugor,1582 sq.ft.,3 Bedrooms,3 Bathrooms
Reflections Condo LOW FLOOR 2 Balcony FULLY FURNISHED For SALE,RM 680 000,Bayan Lepas,1260 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Wangsa ori Jelutong apartment Bandar Baru Perak Road Georgetown,RM 260 000,Jelutong,650 sq.ft.,3 Bedrooms,1 Bathroom
GOOD BUY ! The Latitude Condo I High Floor I Below Market Value,RM 700 000,Tanjong Tokong,1500 sq.ft.,3 Bedrooms,4 Bathrooms
Hot Unit! Central Park For Sale! 2600sqf!,RM 1 300 000,Greenlane,2600 sq.ft.,5 Bedrooms,5 Bathrooms
Bm city Condo Below market value,RM 370 000,Bukit Mertajam,1441 sq.ft.,4 Bedrooms,3 Bathrooms
Tamarind Seaview 2CP Furnished Renovated 1047sqft Tanjung Tokong,RM 820 000,Tanjong Tokong,1047 sq.ft.,3 Bedrooms,2 Bathrooms
【NICELY RENOVATED】Ferringhi Delima | Batu Ferringhi,RM 338 000,Batu Ferringhi,700 sq.ft.,3 Bedrooms,2 Bathrooms
8 Gurney (The Shore) | Gurney Drive,RM 5 600 000,Georgetown,10740 sq.ft.,5 Bedrooms,5 Bathrooms
Desa Green Block 5 Jelutong 700sf Great Location 1 CarPark,RM 350 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
"Mutiara Heights Apartment (Sea View), Jelutong Penang.",RM 380 000,Jelutong,800 sq.ft.,3 Bedrooms,2 Bathrooms
QUAYWEST CONDO Bayan Lepas 760sqft UPGRADE UNIT WITH TILES Bare unit,RM 460 000,Batu Uban,760 sq.ft.,2 Bedrooms,1 Bathroom
Fettes Residence 1600sf Furnish Tanjung Tokong,RM 970 000,Tanjong Tokong,1600 sq.ft.,3 Bedrooms,2 Bathrooms
Cheapest Arena Residence 1300sf 3cp Bayan Baru,RM 660 000,Bayan Baru,1300 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Hui Aun 700sf Renovated Kitchen 1CP Farlim Ayer Itam Freehold,RM 325 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Tanjung Park Condo Tanjung Tokong Penang 1077sf 1 Car Park,RM 600 000,Tanjong Tokong,1077 sq.ft.,3 Bedrooms,2 Bathrooms
Residence 21 Condo Georgetown Penang 5500sf Fully Renovated 4 Car Park,RM 3 500 000,Georgetown,5500 sq.ft.,5 Bedrooms,5 Bathrooms
Meritus Service Apartment (Fully Furnished),RM 475 000,Prai,996 sq.ft.,3 Bedrooms,2 Bathrooms
Seri Sempadan Flat at Ayer Itam with Penang Hill view,RM 230 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Renovated Apartment Tmn Bgn Lallang NEAR Raja Uda Sg Lokan Industrial,RM 260 000,Butterworth,850 sq.ft.,3 Bedrooms,2 Bathrooms
Quaywest Residence 760SF Original At Bayan Lepas,RM 500 000,Batu Uban,760 sq.ft.,2 Bedrooms,1 Bathroom
Desa Alor Vista at Relau 750SF Nicely Renovation Furnished WORTHY BUY,RM 390 000,Bayan Lepas,750 sq.ft.,3 Bedrooms,2 Bathrooms
[ Kitchen Renovated ] Artis 3 Condo 1175sf 2 Car Park Well Maintain,RM 780 000,Jelutong,1175 sq.ft.,3 Bedrooms,2 Bathrooms
[ Worth Buy ] Setia Pinnacle 1314sf 2CarPark Renovated Well Maintain,RM 665 000,Sungai Ara,1314 sq.ft.,3 Bedrooms,2 Bathrooms
DIRECT CALL TO VIEW!! The Spring 2CP Reno+Furnish High Floor Jelutong,RM 520 000,Jelutong,925 sq.ft.,3 Bedrooms,2 Bathrooms
CHEAPEST!! The Rise Collection 3 1000sf Basic Fitting Georgetown RARE,RM 470 000,Georgetown,1000 sq.ft.,3 Bedrooms,2 Bathrooms
The Clovers Hill View Partially Renovated 1598sqft,RM 688 000,Sungai Ara,1598 sq.ft.,3 Bedrooms,3 Bathrooms
The Clovers 1598sf 2cp Partial Renovated Pool View Near Airport,RM 670 000,Sungai Ara,1598 sq.ft.,3 Bedrooms,3 Bathrooms
Skycube Residence Condo Sungai Ara Relau Penang 1200sf 2 Car Park,RM 628 000,Sungai Ara,1200 sq.ft.,3 Bedrooms,2 Bathrooms
"Pangsa Seri Pauh,Blok B,Permatang Pauh",RM 145 000,Bukit Mertajam,600 sq.ft.,2 Bedrooms,1 Bathroom
118 Island Plaza Tanjung Tokong Penang Studio Fully Renovated,RM 400 000,Georgetown,700 sq.ft.,1 Bedroom,1 Bathroom
Fiera Vista Condo Bayan Lepas Penang 1650sf 2 Car Park,RM 750 000,Bayan Lepas,1650 sq.ft.,4 Bedrooms,3 Bathrooms
Mont Residence Condo Tanjung Tokong Penang 1226sf 2 Car Park,RM 700 000,Tanjong Tokong,1226 sq.ft.,3 Bedrooms,2 Bathrooms
Melody Home hill view high Apt All Season Farlim condo Ayer Itam,RM 350 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
[WORTH BUY] Quaywest Residence NB Queensbay/Penang Bridge/FTZ/Egate,RM 460 000,Batu Uban,760 sq.ft.,2 Bedrooms,1 Bathroom
Centro View | Jalan Lalang | Butterworth,RM 418 000,Butterworth,1000 sq.ft.,3 Bedrooms,2 Bathrooms
"Renovated & Funished | Bliss Place | 1,710sqft | Mak Mandin Jaya",RM 480 000,Butterworth,1710 sq.ft.,4 Bedrooms,2 Bathrooms
Melody Home Apt All Season Farlim condo avenue Ayer Itam Worth buy,RM 358 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Apartment Desa Putra at Bayan Lepas NEAR FTZ Area Queensbay Mall,RM 265 000,Bayan Lepas,678 sq.ft.,3 Bedrooms,1 Bathroom
Renovated | Bliss Place | Taman Mak Mandin Jaya | Butterworth,RM 400 000,Butterworth,916 sq.ft.,3 Bedrooms,2 Bathrooms
Full Loan Desa Bistari Fully Furnish @ Sungai Nibong,RM 290 000,Gelugor,700 sq.ft.,3 Bedrooms,2 Bathrooms
FULL LOAN corner desa Rahmat Relau oppsite SPICE,RM 288 000,Relau,700 sq.ft.,3 Bedrooms,2 Bathrooms
Apartment Taman Bukit Jambul,RM 300 000,Bukit Jambul,900 sq.ft.,3 Bedrooms,2 Bathrooms
