,Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
2396,Desa Airmas Fully Reno Full Furnished Sungai Dua,550000.0,19.0,1000.0,2.0,1.0
2397,"Q1 Queens Residence near Qbay mall , Penang 2nd bridge",899000.0,11.0,950.0,1.0,1.0
2398,Best deal unit!!Vertu Resort Fully Furnished Nearly Utropolis KDU IKEA,520000.0,7.0,1030.0,2.0,1.0
2399,The Clovers Condo Near Airport 4-BEDRooms F/Renovated & Furnished 2-CP,650000.0,40.0,1600.0,3.0,2.0
2400,"The Navens Condo,Taman Machang Bubok/ Fully Reno / Near Alma Aeon",498000.0,15.0,1175.0,2.0,1.0
2401,N Park FURNISH & RENO 2 Car Park MOVE IN CONDITION Batu Uban CHEAPEST,355000.0,19.0,700.0,2.0,1.0
2402,Jazz Suite Tanjung Tokong Renovated & Furnished 2-rooms 1365sf,880000.0,46.0,1365.0,1.0,1.0
2403,"For Sale!!!! Gated & Guarded Pangsapuri Taman Mewah, Butterworth",170000.0,18.0,753.0,2.0,1.0
2404,Cheap! Golden Triangle 2 1161sf 2CP Furnished Bayan Lepas Baru FTZ,650000.0,36.0,1161.0,2.0,1.0
2405,All season Renovated hill view 2 car park Farlim,525000.0,2.0,887.0,2.0,1.0
2406,"Taman Seri Setia, Blok G, Near TARUC, tanjung bungah",275000.0,47.0,700.0,2.0,1.0
2407,"The Peak Residence, Tanjung Tokong 1750SF High Floor 3 Car Parks",800000.0,46.0,1750.0,3.0,3.0
2408,"Dahlia Park, Corner unit, Seaview, Worth!",410000.0,18.0,1500.0,3.0,2.0
2409,"The Uban Residence Low Density, 2101sf with High Grade Renovation",970000.0,9.0,2101.0,2.0,2.0
2410,"Berjaya Court Apartment near Gurney Plaza,Low Density, Convenient Area",750000.0,34.0,1050.0,2.0,1.0
2411,TAMAN DESA RELAU II renovated kitchen cabinet 3-rooms 700sf 1-carpark,270000.0,36.0,700.0,2.0,1.0
2412,Luminari Residences Fully Furnished Nearly Wellesly Woodbury Oceanview,650000.0,18.0,1206.0,2.0,1.0
2413,Desa Baiduri Apartment Near Sunshine Farlim 3-rooms Fully Renovated,199000.0,2.0,614.0,2.0,1.0
2414,Pangsapuri Nusa Indah Apartment Tmn SeriJanggus Partial Furniture,230000.0,15.0,900.0,2.0,1.0
2415,"Koyak Plastic Sri Impian, Full Loan, 1K deposit, Balcony Ready",288000.0,2.0,750.0,2.0,1.0
2416,Gardens Ville High Floor Unfurnished For Sale,600000.0,40.0,1270.0,2.0,1.0
2417,"The Peak Residence, Tanjung Tokong 1000SF Low Floor Original Unit",500000.0,46.0,1000.0,2.0,1.0
2418,Sierra Residences High Floor Partially Furnished For Sale,490000.0,40.0,1182.0,2.0,1.0
2419,"(Queensbay Mall view) Q2-QUEENS Residences in Bayan Lepas, High floor",950000.0,11.0,950.0,2.0,1.0
2420,Flat Desa Pilihan Sungai Ara For Sale,120000.0,40.0,527.0,1.0,0.0
2421,The Golden Triangle 2 High Floor Sungai Ara For Sale Partially Furnish,680000.0,36.0,1161.0,2.0,1.0
2422,The Light Linear @Waterfront Gelugor NB Penang Bridge/Egate/Lotus,1120000.0,19.0,1475.0,2.0,2.0
2423,"Apartment Pinang Emas,Block B Pulau Pinang",150000.0,6.0,560.0,2.0,0.0
2424,Imperial Grande Fully Furnished High Floor Sungai Ara For Sale,610000.0,11.0,1000.0,2.0,1.0
2425,BM City Suites @ BM City Mall For Sale,420000.0,15.0,1174.0,2.0,2.0
2426,"Below Market Value @Rm 30k!! Centrio Avenue Apartment, Gelugor",290000.0,19.0,680.0,2.0,1.0
2427,Pearl Tower (Ria Apartment),190000.0,18.0,778.0,2.0,1.0
2428,Casa Residence condo | 3 bedroom | low density | Bukit Mertajam,420000.0,15.0,1010.0,2.0,1.0
2429,"Acres Ville (Taman Sri Acres),Sungai Ara, Bayan Lepas",335000.0,40.0,700.0,2.0,1.0
2430,Fiera Vista Unfurnished Middle Floor Bayan Lepas For Sale,888000.0,11.0,1655.0,3.0,2.0
2431,Desa Permai Indah Hamna Sg Dua Penang,155000.0,42.0,550.0,1.0,0.0
2432,"Mansion One,Georgetow, near Gurney, 1313sf,Seaview,Reno&Furnished",1150000.0,20.0,1313.0,2.0,1.0
2433,Palm Court Apartment Tg Tokong Nr Straits Quay 3-rooms 650sf,235000.0,46.0,650.0,2.0,1.0
2434,IMPERIAL GRANDE Relau Sg Ara 1000sf 3cp FULLY FURNISHED SEAVIEW UNIT,600000.0,11.0,1000.0,2.0,1.0
2435,"Taman Harbour View Apartment at Weld Quay, Georgetown, Good Condition",290000.0,20.0,710.0,2.0,1.0
2436,The Golden Triangle Unfurnished High Floor Sungai Ara For Sale,600000.0,36.0,1315.0,2.0,1.0
2437,"City Of Dreams 1185sf SEA & GURNEY VIEW, Tanjung Tokong",1880000.0,46.0,1185.0,2.0,1.0
2438,DESA BISTARI APARTMENT (BLOCK 3) RENOVATED with kitchen cabinet 1-C/PK,269000.0,19.0,700.0,2.0,1.0
2439,Fully Furnished | Camellia Park | 2 Car Park | Raja Uda,455000.0,18.0,1119.0,2.0,1.0
2440,Desa Indah Blok 33,230000.0,14.0,650.0,2.0,0.0
2441,Hot Area!!! Desa Indah Blok 33 untuk dijual!,230000.0,14.0,650.0,2.0,0.0
2442,"Menara Kuda Lari, Corner Unit, Extended, Fully Renovated & Furnishedis",420000.0,20.0,820.0,2.0,1.0
2443,"Bust Buy !! Mahkota Impian, 1032sf, Fully Furnished, 2cp, High Floor",465000.0,15.0,1032.0,2.0,1.0
2444,"Best Deal !! Gardens Ville, 1270sf, High Floor, Basic Furnished, 2cp",590000.0,40.0,1270.0,2.0,1.0
2445,"Worth Buy !! Gardens Ville, 1230sf, Sungai Ara, 2cp, Furnished & Reno",578000.0,40.0,1230.0,2.0,1.0
2446,"The Waterfront Condo, Fully furnished, fully renovated, sea view",850000.0,47.0,1475.0,3.0,2.0
2447,Desa Baiduri Renovated Build In Kitchen Farlim Sunshine Worth Buy,213000.0,2.0,650.0,2.0,1.0
2448,2 Car Parks Sri Aman Worth Buy At Relau Sungai Ara Near Spice Arena,270000.0,14.0,700.0,2.0,1.0
2449,Queens Waterfront Residence Q2 Fully Seaview Rare In Market Queens Bay,1120000.0,11.0,1000.0,1.0,1.0
2450,"Best Deal !! Gardens Ville, 1140sf, Furnish & Reno, High Floor, 2cp",535000.0,40.0,1140.0,2.0,1.0
2451,"Cheapest !! Gardens Ville, 1120sf, Original Unit, 2cp, High Floor",530000.0,40.0,1120.0,2.0,1.0
2452,"Best Buy !! Setia Pinnacle, 1095sf, Fully Renovated, 1cp, City View",600000.0,40.0,1095.0,2.0,1.0
2453,"Corner Unit !! Forestville, 1050sf, Sungai Ara, Hill View, 2 Carparks",550000.0,11.0,1050.0,2.0,1.0
2454,Renovated 2 Carparks Skycube Residence Good View Nice Reno Near FTZ,628000.0,40.0,1250.0,2.0,1.0
2455,Sri Permai Fully Renovated Extended Kitchen Near Heng Ee Free School,430000.0,22.0,860.0,2.0,1.0
2456,[2 Carparks] Worth Mutiara Height Seaview Near Lotus E-Gate PG Bridge,335000.0,22.0,800.0,2.0,1.0
2457,"Worth Deal !! Setia Pinnacle, 1314sf, Hill View, 2cp, Mid Floor, Reno",728000.0,40.0,1314.0,2.0,1.0
2458,[ Worth ] Renovated The Pulse Corner Unit Seaview Near E-Gate Lotus.,350000.0,19.0,878.0,2.0,1.0
2459,"Best Buy !! Viila Indah, 2200sf, Fully Furnish Reno, 1cp, Gurney Area",1300000.0,34.0,2200.0,3.0,2.0
2460,"Cheapest 4 Room !! Vertu Resort, 1180sf, Partly Furnished, Corner, 2cp",575000.0,7.0,1180.0,3.0,1.0
2461,"RARE !!! Tropicana Bay Residence, Duplex, 1945sqft, FULLY RENO, 3cp",1450000.0,11.0,1945.0,3.0,3.0
2462,"Best Buy !! I-santorini, 850sf, 1cp, Fully Furnish, Mid Floor, Seaview",530000.0,46.0,850.0,2.0,1.0
2463,"Best Buy !! I-santorini, 850sf, 3 Carparks, Fully Renovated, Low Floor",550000.0,46.0,850.0,2.0,1.0
2464,CHEAPEST BUY! U Garden 850sf Reno Basic Fitting Bukit Gambier Gelugor,338000.0,19.0,850.0,2.0,1.0
2465,Pangsapuri Nuri (Sg Ara),230000.0,40.0,650.0,2.0,0.0
2466,"Best Buy !! I-santorini, 850sf, 2 Car Park, Fully Furnished, Low Floor",500000.0,46.0,850.0,2.0,1.0
2467,"Best Deal !! I-santorini, 850sf, 2cp, Partly Furnished, High Floor",500000.0,46.0,850.0,2.0,1.0
2468,"Best Buy !! I-santorini, 850sf, 3 Carpark, Basic Reno, Sea View, Mid F",530000.0,46.0,850.0,2.0,1.0
2469,"Cheapest !! I-santorini, 850sf, 2cp, Basic Reno, High Floor, Corner",500000.0,46.0,850.0,2.0,1.0
2470,"Best Buy !! I-santorini, 850sf, 2cp, Fully Furnish & Reno, High Floor",620000.0,46.0,850.0,2.0,1.0
2471,"Best Buy !! I-santorini, 850sf, Corner, 3 Carparks, Fully Furnish Reno",570000.0,46.0,850.0,2.0,1.0
2472,"Best Buy !! One Foresta , 900sf, 2cp, Low Floor, Corner Unit, Ori Unit",430000.0,40.0,900.0,2.0,1.0
2473,"CHEAPEST !!! Orchard Ville, Sea View, 1080sqft, Mid Floor, KEY v ME",530000.0,11.0,1080.0,2.0,1.0
2474,"Best Buy !! One Foresta, 900sqft, 2cp, Mid Floor, Ori Unit, Hill View",430000.0,40.0,900.0,2.0,1.0
2475,"BEST BUY !!! Reflection, 1260sqft, 2cp, FULLY RENO & FURNISH, Hi-Floor",660000.0,40.0,1260.0,2.0,1.0
2476,"BEST BUY !!! ForestVille, 2 A/C, High Floor, 2 Car Park, Seaview Unit",530000.0,11.0,1000.0,2.0,1.0
2477,"CHEAPEST !!! Orchard Ville, Greenery View, 1116sqft, Corner, 2cp",500000.0,11.0,1116.0,2.0,1.0
2478,"BEST DEAL !!! ForestVille, High Floor Unit!! 2 Car Park! Hill View",540000.0,11.0,1000.0,2.0,1.0
2479,"BEST DEAL !!! ForestVille, Airport View, 3 CAR PARKS, Corner Mid-Floor",550000.0,11.0,1050.0,2.0,1.0
2480,[POOL VIEW UNIT] The Clovers | 1598sf | WELL MAINTAINED Bayan Lepas,670000.0,40.0,1598.0,2.0,2.0
2481,"BEST BUY !!! Central Garden, 750sqft, Batu Lanchang, Partial Reno, 1cp",435000.0,22.0,750.0,2.0,1.0
2482,"Best Deal !! Ocean View, 860sf, Karpal Singh, 1 Carpark",430000.0,45.0,860.0,2.0,1.0
2483,[CORNER TOWN VIEW] Menara Kuda Lari | 850sf | RENOVATED Lumba Kuda,430000.0,20.0,850.0,2.0,1.0
2484,[4CARPARK AIRPORT VIEW] The Clovers 1598sf FULLY RENOVATED Bayan Lepas,880000.0,40.0,1598.0,2.0,1.0
2485,[SEAVIEW PENTHOUSE with GARDENS] Sandilands Condo | 4486sf | Jelutong,1680000.0,22.0,4486.0,4.0,3.0
2486,[WORTH BUY UNIT] Casa Impian Apartment | 750sf | FREEHOLD | Jelutong,399000.0,22.0,750.0,2.0,1.0
2487,[HOME FEELING] Putra Place | 1000sf |RENOVATED 2CARPARKS Bayan Lepas,567000.0,11.0,1000.0,2.0,1.0
2488,[WELL MAINTAINED] Putra Place | 1000sf | RENOVATED Bayan Lepas Indah,490000.0,11.0,100.0,2.0,1.0
2489,[RARE UNIT] The Suites Straits Quay 2100sf 1 YATCHPARK CARPARK Tokong,2080000.0,46.0,2100.0,1.0,2.0
2490,[RENOVATED 2 CARPARKS] Putra Place | 1000sf| SEAVIEW Bayan Lepas Indah,575000.0,11.0,1000.0,2.0,1.0
2491,[3 CP LANDED HOUSE CONCEPT] Skycube Residence | 1970sf | Sungai Ara,750000.0,40.0,1970.0,2.0,1.0
2492,[PERFECT TOWN VIEW] Grace Residence | 1646sf ORIGINAL | 2CP Jelutong,835000.0,22.0,1646.0,3.0,2.0
2493,[UNBLOCK SEAVIEW UNIT] Grace Residence | 1646sf | 2 CARPARKS Jelutong,900000.0,22.0,1646.0,3.0,2.0
2494,[RENOVATED] Menara Kuda Lari 850sf 1 CP Medan Kuda Lahat Georgetown,420000.0,20.0,850.0,2.0,1.0
2495,Desa Ixora Farlim Air Itam,155000.0,2.0,550.0,1.0,1.0
2496,[HILL VIEW UNIT] The Clovers | 1598sf | WELL MAINTAINED Bayan Lepas,688000.0,40.0,1598.0,2.0,2.0
2497,[CORNER UNIT] Relau Vista | 850sf | TASTEFULLY RENOVATED 1 FIX CARPARK,450000.0,11.0,850.0,2.0,1.0
2498,[LIMITED 3 CARPARKS] Tri Pinnacle | 800sf | HILL VIEW Tanjung Tokong,508000.0,46.0,800.0,2.0,1.0
2499,[TIMBERWOOD FLOORING] Tropicana Bay | 550sf | 2 CARPARKS Bayan Lepas,545000.0,11.0,550.0,1.0,0.0
2500,"CHEAPEST !!! Setia Sky Vista, Mid Floor, Hill View, 1194sqft, 2Carpark",699000.0,40.0,1194.0,2.0,1.0
2501,"Best Buy !! Menara Greenview, High Floor, 1050sqft, 4 Units Per Floor",488000.0,22.0,1050.0,2.0,1.0
2502,"CHEAPEST !!! Setia Triangle, 1738sqft, FULLY RENO (RM140k), Mid Floor",888000.0,11.0,1738.0,2.0,1.0
2503,"CHEAPEST !!! Solaria Residence, 1650sqft, 3cp, Airport View, Hi-Floor",789000.0,11.0,1650.0,2.0,2.0
2504,"Best Deal !! Putra Place, Mid Floor, 1000sf, Fully Furnished, 1 Cp",510000.0,11.0,1000.0,2.0,1.0
2505,"CHEAPEST ! Arte S, High Floor, 1294sqft, 2cp, Greenery View, Ori Unit",690000.0,19.0,1294.0,2.0,1.0
2506,"Best Reno !! Beacon Executive Suites, 980sf, 2 rooms, 2 Carparks",820000.0,45.0,980.0,1.0,1.0
2507,"BEST BUY !! Setia Pinnacle, 1314sqft, FURNISHED & RENO, Hill View, 2cp",650000.0,40.0,1314.0,2.0,1.0
2508,"RARE !!! The Light Collection II (2), 1701+580sqft, Garden Unit, 3cp",2450000.0,19.0,2281.0,2.0,2.0
2509,"RARE !!! The View (Twin Tower), Duplex, 3890sqft, Gelugor, FULLY RENO",1700000.0,19.0,3890.0,4.0,4.0
2510,Melody Homes 700Sf FURNISHED RENOVATED Nr Ayer Itam Shine ville Avenue,350000.0,2.0,700.0,2.0,1.0
2511,"CHEAPEST !!! Tropicana Bay Residence, 550sqft, 1 ROOM, High Floor",500000.0,11.0,550.0,0.0,0.0
2512,Pangsapuri Bagan Sena VERY GOOD CONDITION Nr Butterworth Bagan Luar,260000.0,18.0,822.0,2.0,1.0
2513,"Best Buy !! One Imperial, 1180sqft, 2cp, Full Furnish & Reno, Mid Floo",680000.0,40.0,1180.0,2.0,1.0
2514,"Best Deal !! Putra Place, Low Floor, 1000sf, Fully Furnish Reno, 1cp",530000.0,11.0,1000.0,2.0,1.0
2515,"Best Deal !! Alpine Tower ,1000+200sf, Furnish, Reno, Garden Unit",450000.0,14.0,1000.0,2.0,1.0
2516,The Brezza At Tanjung Tokong Renovated 1 Car Park,620000.0,46.0,1250.0,2.0,1.0
2517,"Best Buy !! One Imperial, 1180sqft, 2cp, Fully Reno, Low Floor, Blok C",580000.0,40.0,1180.0,2.0,1.0
2518,"Best Deal !! Alpine Tower, Corner Unit, Furnish, Reno, 2 Car Park",530000.0,14.0,1305.0,2.0,1.0
2519,"Best Buy !! Setia Triangle, 1385sf, Furnish, Reno, 2 Cp, Low Floor",620000.0,40.0,1385.0,2.0,1.0
2520,Fully Furnished Studio Unit for SALE @ Harbour Place B'Worth,310000.0,18.0,670.0,0.0,0.0
2521,"Fully Furnished! Meritus Residence, Jalan Baru Perai Penang",500000.0,33.0,996.0,2.0,1.0
2522,Sunny Ville At Batu Uban Renovated Furnished Freehold Seaview,380000.0,19.0,800.0,1.0,1.0
2523,"Best Deal !! Mira Residence, 1635sf, Partly Furnished & Reno, 2cp",1200000.0,46.0,1635.0,2.0,2.0
2524,"Best Deal !! Alpine Tower, 968sf, Furnish, Reno, 2cp, Mid Floor",469000.0,14.0,968.0,2.0,1.0
2525,"Rare !! The Rise Collection 2, Mid Floor, 1cp, 900sqft With Balcony",430000.0,20.0,900.0,2.0,1.0
2526,"Best Deal !! The Cove, Low Floor, Fully Furnished & Reno, 6000sf, 2cp",3300000.0,47.0,6000.0,4.0,4.0
2527,"Best Buy !! 98 Nibong Residence, 2455sf , Ori Unit, 3cp, Low Floor",1050000.0,11.0,2455.0,2.0,1.0
2528,The Signature @ Jalan Baru Perai |1087 Sqft Freehold |2 Carpark,440000.0,30.0,1087.0,2.0,1.0
2529,"Best Deal!! Vertiq, 1044sf, 2cp, Hi-floor, Seaview, Full Reno Furnish",890000.0,19.0,1044.0,2.0,1.0
2530,Sunny Ville At Batu Uban Freehold Renovated 2 Car Park,460000.0,19.0,1000.0,2.0,1.0
2531,"Cheapest !! One Imperial, 1050sf, Basic Renovated, 2cp, Low Floor",545000.0,40.0,1050.0,2.0,1.0
2532,"Penthouse !! Menara Greenview, High Floor, 2600sqft, 3cp, Duplex",888000.0,22.0,2600.0,3.0,2.0
2533,Waterside Residence Gelugor Near Penang Bridge 2-Rooms *BRAND NEW* 2CP,860000.0,19.0,1076.0,1.0,1.0
2534,"Best Buy !! Abel Residence, 1130sf, Fully Furnish & Reno, 2cp, Low Flo",550000.0,15.0,1130.0,2.0,1.0
2535,Camellia Park 3 Carparks 1754sqft | Renovated & furnished,580000.0,18.0,1754.0,2.0,1.0
2536,"The light collection 3, 3740 sqf penthouse ,seaview gelugor",2680000.0,19.0,3740.0,3.0,3.0
2537,Taman Sri Relau 88A For Sale🔥🔥🔥,230000.0,36.0,690.0,2.0,1.0
2538,"Rare !!! Quaywest, 760sf, Ori Unit With Upgrade 2x2 Floor Tiles, 1cp",460000.0,9.0,760.0,1.0,0.0
2539,"Cheap Duplex !!! Elit Heights, 1600sqft, Furnished, 2 Carparks",820000.0,11.0,1600.0,2.0,3.0
2540,"Cheapest !! One Imperial, 1180sf, Fully Furnished & Renovated, 2cp",620000.0,40.0,1180.0,2.0,1.0
2541,"Cheapest !!! Elit Heights, 1572sqft, Furnished & Reno, Mid Floor, 2cp",650000.0,11.0,1572.0,2.0,1.0
2542,"DESA INTAN Flat, Low Floor, Block 7B, 527sf, 2 Rooms, Ayer Itam",130000.0,2.0,527.0,1.0,0.0
2543,Golden Triangle 2 Relau Near Spice Arena 3-Rooms *BRAND NEW UNIT* 2CP,690000.0,36.0,1161.0,2.0,1.0
2544,"Best Buy !! Forestville, 1000sf, 2cp, Hill View, Ori, Mid Floor, Blk A",530000.0,11.0,1000.0,2.0,1.0
2545,"Bagan Sena Apartment, Butterworth for sale",278000.0,18.0,822.0,2.0,1.0
2546,"Best Deal !! Setia Sky Ville, 1036sf, Fully Renovated, Mid Floor, 2 Cp",780000.0,22.0,1036.0,2.0,1.0
2547,"Sri Aman Apartment For Sale at Relau, Penang",280000.0,36.0,667.0,2.0,0.0
2548,"Best Buy !! Setia Pinnacle, 1095sf, Ori, 2cp, Hill View, High Floor",620000.0,40.0,1095.0,2.0,1.0
2549,"Cheapest !! Setia Pinnacle, 1515sf, Mid Floor, Hill View, 2cp, Corner",780000.0,40.0,1095.0,2.0,1.0
2550,Taman Sri Aman 3 Apartment Relau,270000.0,36.0,680.0,2.0,1.0
2551,"Aston Acacia New Project, Service Apartment, Jit Sin Bukit Mertajam",378000.0,15.0,883.0,2.0,1.0
2552,Lucerne Residences Bayan Lepas 1140sf 3+1Room New Property Low Density,663900.0,11.0,1140.0,3.0,1.0
2553,"Best Buy !! Ocean View Jelutong, 860sf, Fully Furnish & Reno, 1cp",450000.0,18.0,860.0,2.0,1.0
2554,"Apartment 1 park untuk dijual!! Sg Ara Bayan Lepas, Pulau Pinang",240000.0,11.0,650.0,2.0,1.0
2555,"Best Buy !! Middleton, 1409sf, Sea View, Mid Floor, 2cp, Ori Unit",1300000.0,19.0,1409.0,2.0,1.0
2556,Perai Utama Apartment for sale,218000.0,30.0,753.0,2.0,1.0
2557,"BEST BUY !!! Boulevard, 936sqft, High Floor, 2cp, Corner Unit",550000.0,2.0,936.0,2.0,1.0
2558,I-Park Apartment Sg Ara 3-Room Partly Renovated & Furnished HIGH FLOOR,248000.0,40.0,650.0,2.0,1.0
2559,Bj court at bukit jambul,235000.0,11.0,700.0,2.0,1.0
2560,Sri impian at Farlim,275000.0,2.0,700.0,2.0,1.0
2561,Pangsapuri Seri Pelangi Bkt. Mertajam Town Apartment for Sale,298000.0,15.0,1044.0,2.0,1.0
2562,"Starhill Luxury Residence, Sunway Bukit Gambir, Gelugor for Sale!",800000.0,19.0,1283.0,2.0,1.0
2563,Sri Ivory Air Itam Fully renovated Near Sunshine Farlim,240000.0,2.0,700.0,2.0,1.0
2564,Sri Ivory Air Itam Fully renovated Near Sunshine Farlim,240000.0,2.0,700.0,2.0,1.0
2565,Park View Tower @ Harbour Place for sale,265000.0,18.0,883.0,2.0,1.0
2566,"Queens Residences, 950sf, 2 Car Parks, Walking distance to Queensbay",860000.0,11.0,950.0,1.0,1.0
2567,Harbour Place condo Ocean View full furnish near Wellesley,355000.0,18.0,938.0,2.0,1.0
2568,Raja Uda Camellia Park condo full furnish partly reno,455000.0,18.0,1119.0,2.0,1.0
2569,"Bukit Mertajam, Pangsapuri Seri Jaya for Sales",388000.0,15.0,1100.0,2.0,1.0
2570,Centroview Apartment @ Bagan Lalang,415000.0,18.0,1290.0,3.0,1.0
2571,Mahsuri Square Fully Renovated Move In Condition,538000.0,10.0,1129.0,2.0,1.0
2572,Butterworth Bagan,360000.0,18.0,1070.0,2.0,1.0
2573,"98 Nibong Residence Condo, Sungai Nibong, 2 car park, 2450sf",980000.0,11.0,2450.0,2.0,2.0
2574,"[Cheapest,700sft] Halaman Kristal, Lengkok Free School, 11600 Jelutong",235000.0,22.0,700.0,2.0,1.0
2575,Ocean View condo full furnish reno near Wellesley Sea View tower,410000.0,18.0,983.0,2.0,1.0
2576,Pangsapuri Telaga Emas Condo,430000.0,18.0,1366.0,3.0,1.0
2577,Vista Bay Condo Partly Furnished 2 Car Park,426000.0,18.0,1258.0,3.0,1.0
2578,Dpiazza Bayan Lepas Baru Renovated,470000.0,10.0,1100.0,2.0,1.0
2579,Renovated Delima Emas condo,415000.0,23.0,1257.0,2.0,1.0
2580,The Latitude European Design Fully Furnished & Renovated [Worth Buy],718000.0,46.0,1500.0,3.0,3.0
2581,The Latitude 2CP Renovated HighFloor Below Market at Tanjung Tokong,699999.0,46.0,1500.0,3.0,3.0
2582,Bagan Lalang Carissa Park condo reno partly furnish 2 carparks,420000.0,18.0,1210.0,3.0,1.0
2583,THE BREZZA SEAVIEW | Cheapest In Market | 1250Sft Fully Furnished SALE,620000.0,46.0,1250.0,2.0,1.0
2584,"Full Loan N-Park block D City, Sea & Pool View",320000.0,19.0,700.0,2.0,1.0
2585,Kampung Benggali Telaga Emas condo reno furnish near Billion Raja Uda,430000.0,18.0,1330.0,2.0,1.0
2586,Prai Meritus Residence condo full super nice ID design,490000.0,18.0,1015.0,2.0,1.0
2587,"Brand new, Middleton, Bukit Gambier, Gelugor Sea View, Pool View",1070000.0,19.0,1409.0,2.0,2.0
2588,"Location, Convenience, Lifestyle",500000.0,46.0,850.0,2.0,1.0
2589,Renovated Taman Seri Putri Sungai Ara (ada Lift),255000.0,40.0,650.0,2.0,0.0
2590,[Duplex Unit] Greenlane Height block G Spacious Low Density/Quiet,1180000.0,21.0,3200.0,4.0,3.0
2591,The View Twin Tower Condo Gelugor Low Density NB Penang Bridge/USM,1100000.0,19.0,2088.0,2.0,3.0
2592,Apartment Delima Intan Juru,255000.0,23.0,786.0,2.0,1.0
2593,The view Twin Towers Low Density/ Seaview NB Penang Bridge/ USM/Tesco,1000000.0,19.0,2088.0,2.0,3.0
2594,[VALUE BUY] Tropicana Bay Residence NB Queensbay & Penang Bridge FTZ,620000.0,11.0,872.0,2.0,1.0
2595,The oasis Condo Gelugor 2 CP Facing Penang Bridge NB Lotus E-gate,650000.0,19.0,1114.0,2.0,1.0
2596,Puncak Terubong near Econ save,275000.0,2.0,700.0,2.0,0.0
2597,Flat Taman Desa Jelita Jalan Kekabu Batu Maung near Kilang,150000.0,8.0,560.0,1.0,0.0
2598,Pangsapuri Titi Mukim - Value RM 170k,150000.0,18.0,697.0,2.0,1.0
2599,Arte S Gelugor 2cp Suitable for Homestay Near Tesco Glugor,699000.0,19.0,1652.0,2.0,1.0
2600,"Golden Triangle 2 ( GT2 ) for sale in Sungai Ara, Relau",660000.0,36.0,1161.0,2.0,1.0
2601,LUMINARI Condo 947sf CHEAPEST IN MARKET Worth BUY BUTTERWORTH LOW FLOO,479000.0,18.0,947.0,1.0,1.0
2602,LUMINARI Condo 974sf RENOVATED 2 Carpark WORTH BUY !! BUTTERWORTH,548000.0,18.0,974.0,1.0,1.0
2603,LUMINARI Condo 945sf VERY NICELY RENOVATED Worth BUY BUTTERWORTH !!,530000.0,18.0,945.0,1.0,1.0
2604,PINANG EMAS Apartment 650sf FULL LOAN 100% CHEAPEST BATU FERRINGHI BUY,138000.0,6.0,650.0,2.0,1.0
2605,The Light Colelction I 1 - 1582sq.ft - Partially Renovated - 3 Cps,1240000.0,19.0,1582.0,2.0,2.0
2606,Reflections Condo LOW FLOOR 2 Balcony FULLY FURNISHED For SALE,680000.0,11.0,1260.0,2.0,1.0
2607,Sri Wangsa ori Jelutong apartment Bandar Baru Perak Road Georgetown,260000.0,22.0,650.0,2.0,0.0
2608,GOOD BUY ! The Latitude Condo I High Floor I Below Market Value,700000.0,46.0,1500.0,2.0,3.0
2609,Hot Unit! Central Park For Sale! 2600sqf!,1300000.0,21.0,2600.0,4.0,4.0
2610,Bm city Condo Below market value,370000.0,15.0,1441.0,3.0,2.0
2611,Tamarind Seaview 2CP Furnished Renovated 1047sqft Tanjung Tokong,820000.0,46.0,1047.0,2.0,1.0
2612,【NICELY RENOVATED】Ferringhi Delima | Batu Ferringhi,338000.0,6.0,700.0,2.0,1.0
2613,8 Gurney (The Shore) | Gurney Drive,5600000.0,20.0,10740.0,4.0,4.0
2614,Desa Green Block 5 Jelutong 700sf Great Location 1 CarPark,350000.0,22.0,700.0,2.0,1.0
2615,"Mutiara Heights Apartment (Sea View), Jelutong Penang.",380000.0,22.0,800.0,2.0,1.0
2616,QUAYWEST CONDO Bayan Lepas 760sqft UPGRADE UNIT WITH TILES Bare unit,460000.0,9.0,760.0,1.0,0.0
2617,Fettes Residence 1600sf Furnish Tanjung Tokong,970000.0,46.0,1600.0,2.0,1.0
2618,Cheapest Arena Residence 1300sf 3cp Bayan Baru,660000.0,10.0,1300.0,2.0,1.0
2619,Taman Hui Aun 700sf Renovated Kitchen 1CP Farlim Ayer Itam Freehold,325000.0,2.0,700.0,2.0,1.0
2620,Tanjung Park Condo Tanjung Tokong Penang 1077sf 1 Car Park,600000.0,46.0,1077.0,2.0,1.0
2621,Residence 21 Condo Georgetown Penang 5500sf Fully Renovated 4 Car Park,3500000.0,20.0,5500.0,4.0,4.0
2622,Meritus Service Apartment (Fully Furnished),475000.0,33.0,996.0,2.0,1.0
2623,Seri Sempadan Flat at Ayer Itam with Penang Hill view,230000.0,2.0,700.0,2.0,1.0
2624,Renovated Apartment Tmn Bgn Lallang NEAR Raja Uda Sg Lokan Industrial,260000.0,18.0,850.0,2.0,1.0
2625,Quaywest Residence 760SF Original At Bayan Lepas,500000.0,9.0,760.0,1.0,0.0
2626,Desa Alor Vista at Relau 750SF Nicely Renovation Furnished WORTHY BUY,390000.0,11.0,750.0,2.0,1.0
2627,[ Kitchen Renovated ] Artis 3 Condo 1175sf 2 Car Park Well Maintain,780000.0,22.0,1175.0,2.0,1.0
